,Unnamed: 0,Unnamed: 0.1,Date,Narration,Ref.No,Credit,Debit,Balance,Bank,Matched
0,0,0,2019-01-03,OPENING BALANCE,0.0,26160.53,0.0,"26,160.53 Cr.",Hdfc Bank A/c,
1,1,1,2019-03-18,NEFT BY HDFC LONG TERM ADVAN,0.0,5164.39,0.0,"31,324.92 Cr.",Hdfc Bank A/c,HDFC LONG TERM
2,2,2,2019-03-18,NEFT BY HDFC TAXSAVER FUND I,0.0,0.0,4453.51,"35,778.43 Cr.",Hdfc Bank A/c,TAXSAVER
3,3,3,2019-03-31,INT  01 10 31 03,0.0,831.0,0.0,"36,609.43 Cr.",Hdfc Bank A/c,
4,4,4,2019-03-31,CLOSING BALANCE,0.0,0.0,36609.43,"36,609.43 Cr.",Hdfc Bank A/c,
