,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,"Sl
No.",Description of Goods,HSN/SAC,GST,HS,"Code
Rate",Quantity,Rate,per,Disc. %,Amount,Unnamed: 11
0,0,0,0,0,1,1.0,AMD CPU RYZEN 5  3600,8473,18%,,,1.00 pcs,"12,000.00",pcs,,"12,000.00",
1,1,1,1,1,4,2.0,Mother Board,8473,18%,,,1.00 pcs,"9,500.00",pcs,,"9,500.00",
2,2,2,2,2,7,3.0,"RAM 16 GB DDR 4 VENGENCE
3000 MHz CORSAIR",8473,18%,,,1.00 pcs,"5,250.00",pcs,,"5,250.00",
3,3,3,3,3,9,4.0,"GIGABYTE PCI 2 GBDDR 3
GT710 GV  N710 D3 2 GL",8473,18%,,,1.00 pcs,"2,850.00",pcs,,"2,850.00",
4,4,4,4,4,11,5.0,SSD GIGABYTE 240 GB,8523,18%,,,1.00 pcs,"3,000.00",pcs,,"3,000.00",
5,5,5,5,5,13,6.0,Cabinet With Smps,8473,18%,,,1.00 pcs,"1,500.00",pcs,,"1,500.00",
6,6,6,6,6,16,7.0,Anti Virus Quick Heal Single User -3 Year,8523,18%,,,1.00 pcs,"1,525.42",pcs,,"1,525.42",
7,7,7,7,7,18,8.0,"HP LED 20 ""  20KH  HDMI",8528,18%,,,1.00 pcs,"5,100.00",pcs,,"5,100.00",
8,8,8,8,8,20,9.0,KEY BOARD LOGITECH,8471,18%,,,1.00 pcs,550,pcs,,550,
9,9,9,9,9,21,10.0,Logitech Mouse,8471,18%,,,1.00 pcs,325,pcs,,325,
